id,from_node,to_node,length
0,producers-0,forks-17,65.94734
1,forks-17,forks-16,73.30798
2,forks-16,forks-18,211.5585
3,forks-18,forks-19,476.3006
4,forks-19,forks-20,501.7944
5,forks-20,forks-21,492.7132
6,forks-21,consumers-3,1604.31
7,forks-16,forks-15,268.4825
8,forks-15,forks-14,382.7682
9,forks-14,forks-13,317.1712
10,forks-13,forks-12,343.3888
11,forks-12,forks-11,119.6155
12,forks-11,forks-8,178.6944
13,forks-8,forks-9,283.0456
14,forks-9,consumers-1,57.93915
15,forks-18,forks-22,353.9138
16,forks-22,forks-0,645.5208
17,forks-0,forks-7,708.3168
18,forks-7,forks-8,426.5864
19,forks-22,forks-23,650.6181
20,forks-23,consumers-2,121.7199
21,producers-1,forks-1,138.9056
22,forks-1,forks-2,86.59624
23,forks-2,forks-3,178.253
24,forks-3,consumers-2,531.088
25,forks-3,forks-0,805.362
26,forks-3,forks-10,805.8994
27,forks-10,forks-4,105.5681
28,forks-4,consumers-0,263.7838
29,forks-10,forks-5,279.0613
30,forks-5,forks-6,322.8501
31,forks-6,forks-7,571.5881
32,forks-19,forks-24,467.859
33,forks-24,forks-25,581.753
34,forks-25,consumers-4,65.3134
35,forks-19,forks-26,602.9657
36,forks-26,forks-25,491.9115
